No;Fulltext;Status
912;@ARSIPAJA Makanya udah bagus ada tilang elektronik tiba2 dpt surat cinta eh malah balik lagi ke jaman purba tilang manual.;
913;Negara butuh uang dari pajak tetapi peraturan antara bayar pajak stnk tahunan dan tilang elektronik sangat menyulitkan warga yang taat pajak. Dear pak @jokowi ...msh segitu primitif kah negara ini?!;
914;ON AIR SATLANTAS POLRES KUTAI KARTANEGARA Tilang Elektronik di Lampu Merah Tanya jawab tentang e-tilang yuk di jam 10.00 LIVE rpk 100 6 FM https://t.co/fc3JoIEMQt https://t.co/D6xKQqH4sF;
915;@MaharArind @Pai_C1 Tilang elektronik. Dikumpulin itu bukti2nya. Kalo udah kekumpul banyak bukti tapi gaada perbaikan pidanain ownernya. Soalnya kadang bis2 nekat gitu juga ada peran owner. Percuma orang lain berbusa2 ngingetin tp dari owner santai. Supir lebih takut ke owner;
916;@Pai_C1 Emg buat bis2 tu paling bener pke tilang elektronik. Mau sampai kpn negara ini ga maju maju;
917;Tilang elektronik atau yang biasa disebut E-TLE merupakan sistem yang digunakan oleh beberapa pemerintah daerah untuk mendeteksi dan mengenakan denda kepada pelanggar lalu lintas secara elektronik. https://t.co/d3d2XeTldi;
918;Stiker ini nanti ditempel di kendaraan kalau kesorot kamera tilang elektronik atau kamera portable database nya akan keluar semua. Kalau ada databasenya aman kalau tidak berarti palsu kata Yusri seperti dikutip dari Kompas Jumat (19/4/2024).;
919;@SammiSoh Dikata apa yg cocok kok penumpang maen playing victim bagus lah Lo gak di gaplokin becanda kelewatan ya Klo gak ada Tilang elektronik disitu. Atw Saipul lg iseng .;
920;@fwbbasesby3 Bisa kena Tilang elektronik ga si;
921;07.47 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. @TMCPoldaMetro https://t.co/wPpGd80Qv8;
922;08:00: RT @TMCPoldaMetro : Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. https://t.co/B7dA61owjp;
923;07.47 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. https://t.co/o6l0003589;
924;Penerapan Tilang Elektronik di Indonesia Dinilai Belum Cukup Efektif Karena Hal Ini https://t.co/xtN1AQzltA;
925;apakah kena tilang elektronik? wkwkw;
926;kan ada tilang elektronik buat apaan ya masih mejeng. kalo razia masa iya berdua doang ga ada plang razia nya juga lagi wkwk sumpah niat bgt jam 11 malem;
927;@PTJASAMARGA Mudah2n bener2 diterapkan tilang elektronik bagi pelanggar gage di tol arus mudik dan balik. Terimakasih;
928;@arcanevanya @convomf Ada tilang elektronik;
929;Evaluasi Arus Mudik 2024 Dirgakkum : Pelanggaran Tilang Elektronik (ETLE) Meningkat 15 9% https://t.co/lCE8gvmA1W;
930;11.27 Polri Dit Lantas PMJ melakukan kegiatan penindakan tilang secara elektronik di turunan Layang MBZ Tol Japek Km. 10 arah Cawang kepada pengendara mobil yang melanggar kebijakan pembatasan kendaraan dengan sistem GAGE selama arus balik Lebaran 2024. https://t.co/8ko5GwZvuy;
931;kalo lg tanggal ganjil tp plat mobilnya genap itu bakalan disuruh keluar tol atau bayar tilang elektronik ya?;
932;@KepaArgawinata7 Itulah kenapa ada tilang elektronik jd para pengendara harus hati2 dan taat aturan polisi tinggal mengawasi kamera enak ya jd polisi?;
933;@AE86kouki @catuaries Ini mungkin perlunya tilang elektronik diperbanyak.;
934;@jee_creepers @LokalPendaki udah ada tilang elektronik bang biasanya polisi tinggal foto plat nya aja;
935;@heitiw @Asaeny Mungkin kk nya liat nopolnya dari surat tilang elektronik...;
936;@Pai_C1 Enak banget itu dikenain tilang elektronik kayaknya boleh nih polisi bikin tilang elektronik via pengaduan masyarakat disertai bukti foto atau video. @DivHumas_Polri @TMCPoldaMetro;
937;@NTMCLantasPolri Perlu tilang elektronik tambahan ganjil genap di jalur kontra flow jika kecepatan lebihi 60 km/jam ya kang mas;
938;@kegblgnunfaedh Kena tilang elektronik itu...;
939;@akugakasyik awas kena tilang elektronik;
940;Lebih lanjut terkait pelanggaran lalu lintas Kakorlantas Polri Irjen Pol. Dr. Drs. Aan Suhanan https://t.co/WnobxDspT2. para pelanggar akan ditindak secara tilang elektronik atau ETLE lalu setelah libur 16 April surat pelanggaran akan dikirim ke alamat sesuai dengan STNK.;
941;Lebih lanjut terkait pelanggaran lalu lintas Kakorlantas Polri Irjen Pol. Aan Suhanan menuturkan bahwa para pelanggar akan ditindak secara tilang elektronik atau ETLE lalu setelah libur tanggal 16 April surat pelanggaran akan dikirim ke alamat sesuai dengan STNK.;
942;Owner burung kutilang ketika tau ada tilang elektronik https://t.co/0n4ofbSvf2;
943;@ScherazadeMS Harus ini kena tilang ELektronik;
944;Yang mo mudik via darat area pulau Jawa ada tambahan Ganjil Genap juga nih Tiati tilang elektronik https://t.co/wFugdIWzpX;
945;"Jadwal One Way Contra Flow &amp; Ganjil Genap Mudik Lebaran 5 April 2024 Ada Tilang Elektronik! https://t.co/txIJ8qHl7i";
946;tadi kena tilang elektronik bjirr takut di marahin bokap :(;
947;Ya Allah bapak gw berbulan2 kakinya sakit baru sebulan operasi kaga bisa kemana2 (baru skrg doang bisa naik motor sama sepeda) tiba-tiba dapet kiriman surat tilang. Mana fotonya pas dikirimin aja FOTO ANGKOT ALIAS BUKAN MOBIL GUE. Kocak bgt sistem tilang elektronik ini.;
948;@yan_zenin owner burung kutilang ketika tau ada tilang elektronik;
949;@ngalammenfess di sabilillah itu ada tilang elektronik seingetku;
950;@pemilikmodal @PT_Transjakarta padahal TJ udah ada CCTV. tinggal scan aja masukin tilang elektronik.;
951;Abis liat konten seorang ibu yg lg nyetir trus bayinya duduk di jok penumpang depan pake sofa bed bukan carseat trus dia videoin sambil nyetir. Aku mulai gerah deh liat orang bikin konten sambil nyetir klo ku polisi kyknya udah aku tiba-tiba kasih tilang elektronik. Kzzzl;
952;@lckmnrv Kamera buat tilang elektronik aja keknya banyak yang udah di cabut lagi deh;
953;Pemkab Seruyan Serahkan Hibah Peralatan Tilang Elektronik https://t.co/UV0LVvWybO;
954;Ini Lokasi Tilang Elektronik Ganjil Genap Selama Mudik Lebaran 2024 https://t.co/monKqE8qMo;
955;POLISI tetap akan memberlakukan sistem ganjil genap Jakarta atau gage selama masa arus mudik dan arus balik lebaran 2024. Pengendara akan diawasi dan ditilang oleh kamera tilang elektronik https://t.co/jMjnau3aBy;
956;Tolong yg kyk gini ditilang lah @DivHumas_Polri kan ad tilang elektronik nohh..;
957;Wkwk selalu bertanya tanya ada ga ya korban dari lampu tilang elektronik. Tiap lewat pasti mata auto ada sisi yg gelapnya;
958;@DalemSatrio Pak pol ilang pengguna dari Suhat arah kekanan/ Dinoyo lsg numpuk mangan dalan Marka macet pastilah Tilang elektronik pasti panen disini byk masukan diberi pembatas Marka ckp 5meter agar yg arah mbetek lancar @dishub_mlgkota @cityguide911fm @Senaputra_FM @infomalang;
959;Malah kocak kalo ditutup padahal udah ada teknologi namanya kamera tilang elektronik Biarin aja masuk besok tinggal kirim surat tilang ke rumah;
960;@thepooptatoz @infobandung @tmc_restabesbdg @DivHumas_Polri @ListyoSigitP Halo Sobat Polri terimakasih atas informasinya. Tilang manual kembali diberlakukan karena penerapan tilang elektronik atau ETLE belum efektif dalam mencegah pelanggaran lalu lintas. Yang terjadi adalah sebaliknya banyak pengguna jalan yang merasa bebas untuk melanggar (1/3);
961;09.44 Tim E-TLE Mobile Sat Lantas Jakarta Selatan melaksanakan kegiatan penindakan tilang elektronik kepada pengendara motor yang melanggar lawan arus di depan SPBU Bintaro Tanah Kusir Jl. Bintaro Raya Kebayoran Lama Jaksel. https://t.co/p6OENAH3Ur;
962;@argomerbabu Ditilang elektronik kan bukannya kalau di atas jam 10 malem semua mati.. Alias gak ada tilang dll.. Ahhh sudahlah..;
963;Selamat malam @Poldametrojaya_ barusan saya mendapatkan wa surat tilang elektronik seperti ini dan sudah terdownload namun tidak terinstall di hp karena tidak ada aplikasi untuk membuka file apk tersebut. Apakah ada hal lain yg harus saya lakukan selain menghapus file tersebut? https://t.co/m3PsKyhYFy;
964;Rombongan konvoi Takjil On the Road tertangkap kamara ETLE atau tilang elektronik di Jalan Pettarani Makassar Minggu 24 Maret 2024 pukul 16:59 WITA. https://t.co/rys27d9Dzs;
965;Dapat Surat Cinta Begini 5 Cara Cara Cek Tilang Elektronik yang Mudah dan Praktis! https://t.co/5VW3It8Yq2;
966;adek: 'bang adek beli motor ini aja lah biar ga kena tilang elektronik' iya dek.. https://t.co/xAcf1QOX4I;
967;@RNacional_News Asu guru seperti itu langsung pas pulang gantung di tilang elektronik;
968;EH INI KALO SUDIRMAN UDAH KENA TILANG ELEKTRONIK KOCAAAAKKKK;
969;Agar Surat Kendaraan Tidak Terblokir Begini Cara Bayar Tilang Elektronik https://t.co/JauGRONnJH;
970;Melanggar Aturan Lalu Lintas Berapa Biaya Denda Tilang Elektronik https://t.co/wX3qfF45nt;
971;BAPA GUA KENA TILANG ELEKTRONIK;
972;@kompascom tapi video tilang elektronik (etle) bisa dijadikan bukti? video cctv kejahatan bisa dijadikan bukti? kenapa tidak meng apply logic yg sama untuk bukti kepemilikan?;
973;11.10 Polri Satlantas Jaktim Penyuluhan ttg ETLE ( Tilang elektronik ) dan bagi Masker kpd Petugas Sudin Pertamanan Jatinegara Jakarta Timur https://t.co/PSXRzxrJmN;
974;Deg degan lagi bayar pajak motor sama yg mulia ratu kirain bakal kena tilang elektronik soalnya sering nerobos lampu merah wkwkwk Jadi kmaren yg kena flash itu apa anjerr;
975;Hati-Hati Melanggar Ganjil Genap di Jalur Mudik Langsung Kena Tilang Elektronik https://t.co/pbNuNTZ0cm;
976;Optimasi Lalu Lintas Lebaran 2024: Kebijakan Ganjil Genap dan Sistem Tilang Elektronik https://t.co/B3foiic932;
977;Tilang Manual Jaring Pelanggaran 3 Kali Lipat dari Elektronik https://t.co/n1quEGjGB8 lewat @Keuangan News;
978;Rekan Widyuta..Hati hati kejahatan digital yang menargetkan data sensitif melalui email unggahan media sosial pesan teks dengan mengirimkan file apk di smartphone android yang berkedok tilang elektronik. https://t.co/vF6kOAtEzO;
979;Korps Lalu Lintas (Korlantas) Polri mencatat sebanyak 60.047 unit kendaraan dikenakan tindakan langsung (tilang) secara manual maupun elektronik selam... https://t.co/dIcMo1qLRX;
980;Top 3: Beli Mobil Bekas Pelat B Jadi Trauma Gara-gara Kena Tilang Elektronik di Jakarta https://t.co/xvJzIDUN2B;
981;Jangan dikira negara maju semua karena kesdaran warga. Tilang!!! Di daerah sini pasang tilang elektronik denda besar. Walau dikata nanti bisa salaman tapi rakyat juga malas urusan begini. Tertib lama lama;
982;kena foto tilang elektronik dipandanaran pas ber 2 sama bapak ngga pake safety belt semua. langsung saling pandang lhoh?;
983;Selama pelaksanaan Operasi Keselamatan Agung 2024 yang digelar 4-17 Maret 2024 aparat Satuan Lalu Lintas (Satlantas) Polres Badung kedepankan tilang elektronik mobile. https://t.co/ZSUKYpWmQG;
984;@jumadi097 @kamto_adi Kemaren istri dapat yg surat konfirmasi tilang elektronik;
985;Tilang Elektronik Jadi Saksi Romantis Sejoli Ini Bergaya Meski Bakal Kena Denda https://t.co/OkRjLlIb9A;
986;@andy_fehunk @ListyoSigitP Yang berlaku demi keselamatan pribadi dan orang lain. Untuk meminimalisir pelanggaran yang terjadi pihak kepolisian telah menerapkan tilang elektronik atau ETLE tilang manual dan razia secara berkelanjutan. (2/3);
987;@jogmfs Siap siap d tilang elektronik;
988;Tilang Manual Jaring Pelanggaran 3 Kali Lipat dari Elektronik https://t.co/0TIRy1JVee;
989;Jadi Trauma Beli Mobil Pelat B Tak Pernah Dibawa Keluar Kota Tapi Malah Kena Tilang Elektronik di Jakarta https://t.co/pqMmGUStE8;
990;8 Hari Operasi Ditlantas Polda Kepri Effektif Tindak 415 Tilang Elektronik https://t.co/is7ppz3U9h;
991;Apa itu Tilang Elektronik atau (ETLE) berbasis INCAR? Dalam rangka Operasi Keselamatan Semeru 2024 Polres Trenggalek gencarkan penindakan Ayo bersama disiplin berlalu lintas Stop Pelanggaran Stop Kecelakaan Keselamatan untuk Kemanusiaan https://t.co/GhTN8lGnu8;
992;*'surat cinta tilang elektronik jadi bisa mengetahui siapa penindaknya' ditunggu;
993;Apa itu INCAR? INCAR adalah mobil yang dilengkapi dengan perangkat kamera tilang elektronik. INCAR merupakan singkatan dari integrated node capture attitude record. ETLE Mobile INCAR diprioritaskan di area yang tak terdapat kamera ETLE statis.;
994;Apa itu Tilang Elektronik atau (ETLE) berbasis INCAR? Dalam rangka Operasi Keselamatan Semeru 2024 Polres Trenggalek gencarkan penindakan Electronic Traffic Law Enforcement (ETLE) mobile atau Tilang Elektronik dengan menggunakan bukti foto kamera dari mobile INCAR. Login https://t.co/VrkPhJTTju;
995;Direktorat Lalu Lintas Polda Metro Jaya telah menindak 7.791 pelanggar menggunakan tilang elektronik (ETLE) statis maupun mobile hingga hari keenam Op... https://t.co/CuwwxLMrx3;
996;Aku pas lewat kamera tilang elektronik be like:;
997;Dari tilang elektronik polisi berhasil menindak 6.617 pelanggar. Adapun untuk tilang non elektronik didapat 23.851 pelanggar. https://t.co/DmAOYQ4nXg;
998;Gelar Pelatihan Operator ETLE Dirgakkum: Tilang Elektronik Realisasi Program Quick Win Presisi Jakarta- Direktur Penegakan Hukum (Dirgakkum) Korlantas Polri Brigjen Pol Raden Slamet Santoso membuka pelatihan operator Electronic Traffic Law Enforcement (ETLE) T.A 2024 di salah https://t.co/N1cmzbr7yH;
999;@LoversCeleng @SahabatAKost @ListyoSigitP @DivHumas_Polri Makanya dibuat SOP-nya. Dibikin sistemnya toh sekarang ada tilang elektronik juga ada cctv. Jadi nggak asal nendang motor. Kalo yang ditendang jatuh terus mati terlindas kendaraan lain bakal lebih rumit kan kasusnya. Kita punya otak yg bisa dipake utk berpikir lebih panjang.;
1000;Menurut Polri dalam penindakan pelanggaran hari ke-4 Polri mengeluarkan elektronik tilang terhadap 6 ribu pelanggaran dan non E-tilang lebih dari 23 ribu. https://t.co/2Nu5HpN4So;
1001;ETLE Drone Pantau Pelanggar Lalu Lintas Polri mengembangkan sistem Electronic Traffic Law Enforcement (ETLE) atau tilang elektronik berbasis drone. Sistem ini merupakan teknologi yang dikembangkan untuk memantau dan menindak pelanggaran lalu lintas dari udara. Hal tersebut https://t.co/NxQazkvdGB;
1002;MAGELANG JATENG https://t.co/eTuTwiCipO - Satlantas Polresta Magelang Polda Jawa Tengah menggunakan sistem tilang elektronik berbasis drone atau ETLE Drone pada Operasi Keselamatan Lalu Lintas Candi (OKLC) 2024. https://t.co/lNZBNRFVFM;
1003;https://t.co/FEL87ypRWN Kasatlantas Kotim: Waspada penipuan berkedok surat tilang elektronik;
1004;@M000LIN kl ada yg kena tilang elektronik minta proses pengadilan aja cuma kena 100-150 aja kl ada petugas mau nolong ngurusin mending gausah soalnya sm petugas bisa kena di 300-500 (kmrn aku di tawarinnya segitu);
1005;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. https://t.co/uann1788El;
1006;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. Sistem (Electronic Traffic Law Enforcement) ETLE drone merupakan teknologi yang dikembangkan oleh https://t.co/Mr9Xdj9ehD;
1007;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. Sistem (Electronic Traffic Law Enforcement) ETLE drone merupakan teknologi yang dikembangkan . https://t.co/PnrGMUEVrA;
1008;Penindakan dengan ETLE drone ini untuk melengkapi penindakan dengan sistem tilang elektronik baik statis maupun mobile serta tilang manual. https://t.co/GklpkTqDiX;
1009;Sistem Tilang Elektronik di Sulsel Capai 1 7 Juta Pelanggaran https://t.co/GIZpBBj4OU;
1010;U bunuh diri namanya disana aja ada tilang elektronik;
1011;@apocalyfse kemarin gue juga baru dapet surat tilang elektronik apk wkwkwk;
1012;11.55 Tim E-TLE Mobile Sat Lantas Jakarta Selatan melaksanakan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Pondok Labu Raya Cilandak Jaksel. https://t.co/VNG3mJf1JR;
1013;@txtdrjkt Pasangin CCTV Tilang elektronik di setiap halte bus TJ pasti banyak banget yg kena;
1014;SIREKAP KPU kalo gak akurat terus coba next fotonya pake kamera tilang elektronik deh;
1015;@D_Zig @AltecoGaring Iku di perempatan BCA Batu arah dari kidul arepe ngalor di kono lampu TL warna hijaune mek diluk Paling seng nyopir libom putih mboh selak nang endi Kok nayap Kesusu susu Mungkin selak njokok penumpang Fokus hp gag fokus ngarepe Padahal dikono onok cctv tilang elektronik;
1016;-dips! Aku akan melakukan riset tentang penipuan nih yang berjudul Modus Penipuan Undangan Pernikahan dan Surat Tilang Elektronik . Aku ingin melihat dan menganalisis seberapa banyak orang yang pernah mendapatkan penipuan melalui chat whatsapp atau media sosial (cont..);
1017;Pemasangan ETLE merupakan program dari Korlantas. Di Bangli baru di satu ruas jalan dilengkapi kamera tilang elektronik yakni di Jalan Merdeka. https://t.co/YCZpEnLXvf;
1018;@kangtjoek Loh yo gak ada pembenaran dolor sat lantas polresta malang kota tetap melaksanakan tindakan hukum penilanangan loh...cara melepas ini tidak elok hanya karena alibi menghindari elektronik Tilang;
1019;@anisadwila20_ Keren jga di tegal udah ada tilang elektronik;
1020;Di hari Kamis yang mendung ini saya bersama adik saya terkena tilang elektronik karena gak bawa helm stnk dan sim. Terima kasih.;
1021;@kisahclassiic Sudah direkam cctv nya tiba2 bebanyak total tilang elektronik pas bayar pajak;
1022;Awas Ketipu Surat Tilang Elektronik Bukan Dikirim Lewat Whatsapp https://t.co/JOoiP202xB;
1023;Teman IRSMM bukan hanya starter pack ini adalah kunci untuk meraih gelar 'Pengemudi Bebas Tilang Elektronik'! Ingat gunakan sabuk pengaman berkendara sesuai batas muatan dan kecepatan yang berlaku https://t.co/VwdrtCs4db;
1024;@DiaryofIntak @DiaryofGowon Abis kena tilang elektronik;
1025;Ndes yg pernah ke tilang elektronik ngacung? Tukang surat baru nganter hari ini. Sedangkan disurat konfirmasi terakhir tgl 13 terus pembayaran ku gak bisa dong. Info yg bisa tau pembayaran;
1026;Berikut sejumlah pelanggaran lalu lintas yang menjadi target tilang elektronik atau ETLE. https://t.co/ZsZotDcStV;
1027;@thoriqmm Ujungnya tetep yg waras harus ngalah pelan di kiri sambil ngasih jalan yg mau kebut-kebutan ya. Mksud gw ga bisa gitu yg lebih dari 100 langsung dpt tilang elektronik masak cuman omongan di berita doang nyatanya ga ada yg kena;
1028;@Pai_C1 @TMCPoldaMetro tlong dan semoga kena tilang elektronik semua bendaÂ² ini;
1029;@peakypickk lebih takut kena tilang elektronik ketimbang nabrak;
1030;iadi pacar aku sini biar kita sama2 kena tilang cctv elektronik soalnya tiap kamu peek a boo aku cium/jk;
1031;@jakoyjaki Tapi masa sereman tilang elektronik;
1032;07.33 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan penindakan tilang elektronik kepada pengendara mobil yang melanggar kebijakan wilayah GAGE di turunan Tol Becakayu Jl. DI. Panjaitan Kebon Nanas Jaktim. https://t.co/rVVYnLvAyC;
1033;@Djat_mika @BaleBengong @HumasBali @DenpasarKota Setiap persimpangan besar ada saja yg melanggar karena kurang kesadaran dari diri sendiri dan masih lemahnya penegakan hukum dan kamera tilang elektronik belum setiap persimpangan terpasang;
1034;@ruudsurya @BaleBengong @HumasBali @DenpasarKota Benar kadang melewati marka batas berhenti kendaraan dan disana belum ada kamera tilang elektronik sebagai mekanisme penegakan aturan;
1035;@hiYano @BaleBengong @HumasBali @DenpasarKota @DpsLantas Bisa ditambah kamera tilang elektronik nya disini seharusnya;
1036;@harlandy26 @BaleBengong @HumasBali @DenpasarKota Benar harus didik sejak usia belia karena di jalan itu milik bersama dan harus saling menghargai hak orang lain di jalan serta kamera tilang elektronik untuk penegakan hukum nya;
1037;Warga Tapin Ingat Ini Mulai Besok Tilang Elektronik Diberlakukan https://t.co/Yw9360NfdN lewat @banjarmasinpost;
1038;@Pai_C1 Kemana kabarny tilang elektronik? Heran ada teknologi ga dpake;
1039;@couplezee Hati2 kamera tilang elektronik skrg jelas banget walaupn pake kaca film gelap hahaha ini gokil sih pose nya sweet banget;
1040;@juliantijaya_ No ge di hack gara gara kek gini bedanya gw surat tilang elektronik;
1041;Semuanya bebal kasih CCTV motor yang lewat tilang elektronik denda. Pasti kapok bayar denda;
1042;Begini Cara Cek Tilang Elektronik https://t.co/ymLW4Ed4m4;
1043;@MemoirsOfSchool Waduh kayanya iya. Loker isinya penuh dengan surat tilang elektronik.;
1044;@Paidjo2018 Ati ati kena tilang elektronik;
1045;@adambrotowijono Tentu saja tak lupa kita haturkan sumpah serapah kepada yang terhormat kebijakan tilang elektronik yang semakin meluas. Atas berkat cahaya flashnya chance anda tertilang semakin meroket. @rfqsyw;
1046;@fitridefi @sehatyas Atau belajar ke polri sistem pemindaian dan pengenalan nomer polisi di tilang elektronik itu bagus;
1047;@RadioElshinta Ini akibat penegakan hukum yang lemah di depan manusia2 berperadaban rendah. Mana itu kamera tilang elektronik? Manusia kayak gini hanya takut kalau uangnya keluar buat bayar tilang. Kl mati mereka gak takut.;
1048;@R_Fahri12 @ListyoSigitP Halo Sobat Polri tilang manual kembali diberlakukan karena penerapan tilang elektronik atau ETLE belum efektif dalam mencegah pelanggaran lalu lintas. Dengan dihilangkan tilang manual ternyata nilai kesadaran masyarakat dalam berlalu lintas menurun (1/2);
1049;knp si jir gw kira potret yang otomatis itu lo tilang elektronik;
1050;@BisKota_ aman nih ga bakal kena tilang elektronik;
1051;Serius nanya di Malang buaaanyak yang lepas plat belakang why? Lapo? Ngindari tilang elektronik?;
1052;@MbokGekkk Kene tilang elektronik men sing nganggo seatbelt Mbo;
1053;22 Pengedara di Karimun Tercatat sebagai Pelanggar Tilang Elektronik https://t.co/kpr9O0JEiG https://t.co/mpdNr1XlSc;
1054;Wasapada Ada Modus Baru Penipuan Tilang Elektronik https://t.co/jHvV6CWnBd;
1055;elektronik. Optimalkan saja ETLE agar mereka bisa sadar. Sebab jika mereka membandel akan terus-menerus terkena denda lewat tilang elektronik dan aturannya juga sudah jelas di UU lalu lintas ungkapnya. Wacana pelarangan membeli BBM di SPBU itu tak relevan sebab bisa saja;
1056;@TMCPoldaMetro Min klo plat palsu gitu dipakai orang lain melanggar lalulintas lalu kena etilang. yang punya plat asli apa kabarnya ya min? Apa yg kena tilang nantinya adalah yang punya plat asli? Berarti tilang elektronik salah sasaran dong? Mohon dijawab. Thanks;
1057;@PaijoKhentir Yang penting tilang elektronik berfungsi sebagaimana mestinya... ___ Meskipun yang nyetir belum tentu yang punya mobil...;
1058;@tinyisagi nama file nya kocak udah e tilang ditambah lagi elektronik;
1059;Saat dapet surat tilang elektronik padahal mobilnya udah dijual 7 taun yg lalu. https://t.co/T5Z2QbfPhF;
1060;@irfan_aja84 @aniesbaswedan @cakimiNOW Benar GUS.... itu mustinya langsung diTILANG... Pake tilang elektronik juga bisa... Kan buktinya banyak..... Tapi kok gak ada yang berani nilang ya..... Apa Masuk Angin ya....???;
1061;Wta ini penipuan model baru kah? Atau emang surat tilang elektronik bentuknya kaya gini? Sender baru pertama kali lihat soalnya https://t.co/0n3RUHcrOL;
1062;@dailyhijrah_ @tanyakanrl Takut kena tilang elektronik;
1063;@RTMC_PoldaJabar Saya dikirim surat tilang elektronik padahal sebelah saya pakai seatbelt. Fotonya kalau dizoom jelas pakai seatbelt dan yang duduk di depan tidak pake maka akan ada alarm bunyi. Gimana cara urusnya ?;
1064;AEON tanjung barat sering banget ada tilang itu pada laper apa gimana? terus gunanya tilang elektronik di deket situ buat apaan dah kalo ujung ujung nya ada tilang juga?;
1065;@HoldenKlasik Lepas mulut singa keluar mulut buaya... ___ Kaga ada tilang elektronik spion pun kena~~~ ___ Masuk akal juga kalimat... Mending ngerakit PC... ___ Biar kaga ugal-ugalan kalau nyetir di jalan... Pulang selamet main komputer~~~ https://t.co/V0xhLOEMxp;
1066;Tilang Elektronik Berlalu di Parepare Ini Jenis Pelanggaran Bakal Ditindak https://t.co/ej3FyWws0Y;
1067;Polres Parepare Mulai Berlakukan Tilang Elektronik Ini Jenis Pelanggaran yang Dibidik Polisi https://t.co/us1odOPJR9;
1068;Tim E-TLE Mobile Sat Lantas Jakarta Timur melaksanakan kegiatan penindakan tilang secara elektronik kepada pengendara mobil yang melanggar kawasan GAGE di tikungan depan WIKA Jl. DI. Panjaitan arah Kebon Nanas. https://t.co/C9MVHOuB1H;
1069;@kasisiur1 Kawanku didinas bejual mobil. Nah tp yg nukari kd balik nama. Sekalinya kena tilang elektronik. Sampailah surat ke rumah kawanku. Dilihat tgl kejadian disurat itu mobil sdh posisi kd diinya. Jd inya beurusan kek setrikaan memadahkan kalo yg melanggar lain inya.;
1070;fess! lucu banget pagi-pagi ada yang mau tipu silahkan silahturahmi ya guys/cek get contact dulu tambahan: kalo dapet pdt dari nomor tidak dikenal jangan dibuka guys itu bisa hack sistem di handphone kita tambahan: surat tilang elektronik dikirim oleh jasa pos (cont..) https://t.co/Ib3u3zg77e;
1071;@MasMasBiassaa samsat online KTP yowes elektronik alias ono chip e cek pajak online tilang wae lo wes elektronik tapi kok nek ngurus opowae kudu fotokopi ktp ki jane keyboard komputer e dinggo login tok opo pie + meresahkan jane ki calo/joki samsat antrine wong 1 stnk ne iso 6;
1072;06.51 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan penindakan tilang secara elektronik pelanggaran GAGE kepada pengendara mobil di exit Tol Becakayu Jl. DI. Panjaitan Kebon Nanas Jaktim. https://t.co/q8L5yqUi4A;
1073;Lokasi ganjil genap Jakarta 2023 hari ini diawasi ketat menggunakan beragam metode termasuk tilang elektronik https://t.co/QRtF0GHKNR;
1074;Kapolda Sulsel Berkomitmen Kembangkan Tilang Elektronik https://t.co/8XVHQQ22ve;
1075;Capture tilang elektronik atau Electronic Traffic Law Enforcement (ETLE) terus dikembangkan Direktorat Lalulintas (Ditlantas) Polda Sulsel Selasa 23 Januari 2024 'Kamera ETLE Rekam Pelat Gantung Hati-Hati Tindak Pidana Menanti Pengendara' selengkapnyaÂ https://t.co/dLpTxpdWd2;
1076;Hati-hati! Tilang Elektronik Sudah Berlaku di Semua Daerah di Sulsel https://t.co/tOlf8xrLvg;
1077;Kembangkan Tilang Elektronik Irjen Andi Rian Ingin Bangun Sulsel Jadi Lebih Baik https://t.co/7VB2qrYusF;
1078;Polda Sulsel Komitmen Terus Kembangkan Tilang Elektronik: NEWS https://t.co/887Qmgi3z5 - Kapolda Sulawesi Selatan (Sulsel) Irjen Pol Andi Rian R Djajadi berkomitmen akan terus mengembangkan pelayanan bidang lalu lintas berbasis digital dengan terus https://t.co/P479Wo3nyq;
1079;Kapolda Sulsel Berkomitmen Kembangkan Tilang Elektronik demikian dikemukakan Kapolda saat melakukan kunjungan silaturahmi ke Universitas Hasanuddin (Unhas) Makassar pada Senin (22/1/2024). https://t.co/DEEHYuqkpS;
